Callset,Truthset,TruePositive,FalseNegative,Precision
NA12878.all.DEL,1000G_DEL,0.990918264,0.009081736,0.515144085
NA12878.all.DEL,Person_DEL,0.992152466,0.007847534,0.521879091
NA12878.all.DUP,1000G_DUP,0.909090909,0.090909091,0.480221175
NA12878.all.BND,1000G_INS,0.75,0.25,0.428578869
NA12878.all.BND,Spiral_INS,0.191176471,0.808823529,0.160511567
NA12878.all.INS,1000G_INS,0.5,0.5,0.333416771
NA12878.all.INS,Spiral_INS,0.5,0.5,0.334757477
NA12878.all.INV,1000G_INV,1,0,0.500997862
NA12878.all.BND,1000G_MEI,0.184065934,0.815934066,0.155720134
NA12878.all.INS,1000G_MEI,0.14010989,0.85989011,0.126066841
