Callset,Truthset,Sensitivity,Precision
delly.DEL,1000G_DEL,0.982846,0.522854
delly.DEL,Person_DEL,0.980568,0.532418
lumpy.DEL,1000G_DEL,0.908678,0.582215
lumpy.DEL,Person_DEL,0.893871,0.624326
manta.DEL,1000G_DEL,0.873865,0.569841
manta.DEL,Person_DEL,0.890135,0.625944
delly.DUP,1000G_DUP,0.902597,0.47938
lumpy.DUP,1000G_DUP,0.571429,0.38161
manta.DUP,1000G_DUP,0.37013,0.294084
delly.BND,1000G_INS,0.5,0.333338
delly.BND,Spiral_INS,0.147059,0.128218
gridss.BND,1000G_INS,0,0
gridss.BND,Spiral_INS,0.220588,0.180739
lumpy.BND,1000G_INS,0.75,0.428646
lumpy.BND,Spiral_INS,0.0441176,0.0422658
manta.BND,1000G_INS,0,0
manta.BND,Spiral_INS,0.0147059,0.0145013
delly.INS,1000G_INS,0,0
delly.INS,Spiral_INS,0,0
manta.INS,1000G_INS,0.5,0.333548
manta.INS,Spiral_INS,0.5,0.33702
delly.INV,1000G_INV,1,0.501086
lumpy.INV,1000G_INV,0.464286,0.346981
manta.INV,1000G_INV,1,0.515418
delly.BND,1000G_MEI,0.153846,0.133556
gridss.BND,1000G_MEI,0.14011,0.123013
lumpy.BND,1000G_MEI,0.0503663,0.0482081
manta.BND,1000G_MEI,0.0430403,0.0424016
delly.INS,1000G_MEI,0.000915751,0.000915194
manta.INS,1000G_MEI,0.139194,0.130596
retroseq.MEI,1000G_MEI,0.765568,0.441395
